0,0.00177002
0.1,-0.011352539
0.2,0.004821777
0.3,-0.025085449
0.4,-0.022949219
0.5,-0.026916504
0.6,-0.015014648
0.7,0.010314941
0.8,0.004516602
0.9,-0.00402832
1,-0.003417969
1.1,-0.000671387
1.2,-0.012268066
1.3,-0.017150879
1.4,-0.012268066
1.5,-0.010742187
1.6,-0.000671387
1.7,-0.008911133
1.8,-0.049804687
1.9,-0.017456055
2,0.007263184
2.1,0.004516602
2.2,-0.017150879
2.3,0.023132324
2.4,0.000854492
2.5,0.020385742
2.6,-0.03729248
2.7,-0.010131836
2.8,-0.012573242
2.9,-0.02722168
3,-0.025695801
3.1,-0.058654785
3.2,-0.014099121
3.3,-0.054077148
3.4,-0.018371582
3.5,0.000549316
3.6,-0.026916504
3.7,-0.01776123
3.8,-0.006469727
3.9,0.010620117
4,0.00390625
4.1,-0.009521484
4.2,-0.042480469
4.3,-0.011657715
4.4,-0.012268066
4.5,-0.023254395
4.6,0.00390625
4.7,-0.010131836
4.8,-0.012268066
4.9,-0.03729248
5,0.005126953
5.1,-0.005859375
5.2,-0.03302002
5.3,-0.011657715
5.4,-0.036376953
5.5,0.029846191
5.6,-0.03302002
5.7,-0.045532227
5.8,-0.047973633
5.9,-0.043395996
6,-0.026611328
6.1,-0.059265137
6.2,-0.040039062
6.3,-0.08581543
6.4,-0.06262207
6.5,-0.039123535
6.6,-0.064453125
6.7,-0.023864746
6.8,-0.053771973
6.9,-0.038513184
7,-0.020507812
7.1,-0.009216309
7.2,-0.019592285
7.3,-0.053161621
7.4,-0.058044434
7.5,-0.058959961
7.6,-0.052246094
7.7,-0.053466797
7.8,-0.073913574
7.9,-0.058959961
8,-0.041259766
8.1,-0.053466797
8.2,-0.065368652
8.3,-0.062927246
8.4,-0.055603027
8.5,-0.045837402
8.6,-0.059875488
8.7,-0.036376953
8.8,-0.065979004
8.9,-0.029663086
9,-0.017150879
9.1,-0.050720215
9.2,-0.042480469
9.3,-0.080932617
9.4,-0.025085449
9.5,-0.040649414
9.6,-0.026306152
9.7,-0.036071777
9.8,-0.066894531
9.9,-0.060791016
10,-0.044921875
10.1,-0.063232422
10.2,-0.036987305
10.3,-0.051940918
10.4,-0.078491211
10.5,-0.055297852
10.6,-0.025085449
10.7,-0.048583984
10.8,-0.064758301
10.9,-0.050109863
11,-0.948242188
11.1,-0.05255127
11.2,-0.102905273
11.3,0.017028809
11.4,0.065551758
11.5,0.045715332
11.6,0.028320313
11.7,-0.013793945
11.8,-0.115722656
11.9,-0.142883301
12,-0.232910156
12.1,-0.295166016
12.2,-0.257019043
12.3,-0.292114258
12.4,-0.274719238
12.5,-0.353759766
12.6,-0.466369629
12.7,-0.615600586
12.8,-0.837768555
12.9,-1.022399902
13,-1.206115723
13.1,-1.368469238
13.2,-1.600708008
